/PNum,uh,uha,ppt,ppta,reflc,reflca,ref1km,ref1kma,WMAG,WMAGa,time,area,member,Date,Reports,UHobj,NREPS,MREPS,lat,lon,uhlength,uharea,1kmArea,Updraft,Updrafta,Upobj,Uparea,Uplen
0,7.5625,2.70652,53,21.75,52.25,41.8424,52.25,39.6087,11,8.6087,14,23,sseo02,140603,0,NA,0,000,23.3463,-73.0396,NA,NA,20,7.3125,3.42935,NA,NA,NA
1,9.6875,1.21069,40.125,37.625,51.875,40.3278,51.25,37.9057,14,11.3962,14,159,sseo02,140603,0,NA,0,000,24.5138,-83.1611,NA,NA,148,13.5625,4.01179,13.5625,46,81.2684
2,3.1875,1.02591,13.875,0.125,45.25,39.9909,44.25,39.0122,5,3.78049,14,41,sseo02,140603,0,NA,0,000,36.9599,-82.1762,NA,NA,41,5.9375,2.66463,NA,NA,NA
3,0.75,0.416667,5.625,0,48.625,40.625,43.5,37.5208,3,2.41667,14,12,sseo02,140603,0,NA,0,000,36.4201,-82.7401,NA,NA,12,2.875,1.80729,NA,NA,NA
4,9.625,1.30478,78.375,50,54.25,39.483,53.75,37.2677,16,11.6914,14,162,sseo02,140603,0,NA,0,000,25.3741,-84.2386,NA,NA,160,12.4375,2.47222,12.4375,12,22.347
5,0.5,0.135417,14.75,0.5,45.75,39.7917,43.25,37.0729,10,9.33333,14,12,sseo02,140603,0,NA,0,000,24.7099,-83.8644,NA,NA,12,5.5625,2.5,NA,NA,NA
6,5.625,0.983631,29.875,21.375,49.75,39.8542,49.625,38.506,14,12.8333,14,84,sseo02,140603,0,NA,0,000,25.9913,-84.7173,NA,NA,82,7.9375,2.38616,NA,NA,NA
7,17.625,1.32659,69.75,104.5,55.5,39.5647,55.25,37.7171,15,10.7302,14,315,sseo02,140603,0,NA,0,000,26.668,-85.9279,NA,NA,306,9.5625,2.82917,NA,NA,NA
8,9,1.33408,36.25,22.875,53.625,40.7783,53.25,38.7634,13,8.59524,14,84,sseo02,140603,0,NA,0,000,25.9299,-85.7222,NA,NA,78,10.75,3.74405,10.75,16,35.7388
9,6.0625,1.62812,39,10.875,52.25,41.2781,52.125,37.4406,13,11.225,14,40,sseo02,140603,0,NA,0,000,27.5343,-85.8018,NA,NA,34,8.8125,3.55,NA,NA,NA
10,1.125,0.529605,11.125,3.75,45.375,40.375,44.375,37.9803,12,10.0526,14,19,sseo02,140603,0,NA,0,000,28.4802,-86.0641,NA,NA,18,5,3.17434,NA,NA,NA
11,3.875,0.830163,28.125,11.5,51.75,40.0109,51.75,38.3587,14,9.78261,14,46,sseo02,140603,0,NA,0,000,29.5058,-86.2313,NA,NA,45,8.5625,3.3981,NA,NA,NA
12,0.875,0.306452,42.625,18.875,48.875,41.1089,48.625,39.2177,10,6.16129,14,31,sseo02,140603,0,NA,0,000,26.1517,-86.4259,NA,NA,29,6.4375,2.5504,NA,NA,NA
13,1.625,0.96875,37,20.125,45.625,39.375,43.25,31.7625,7,5,14,10,sseo02,140603,0,NA,0,000,25.7558,-86.3302,NA,NA,6,8.5,4.2125,NA,NA,NA
14,1.625,0.620536,29.125,22.125,47.5,41.4911,46.75,39.5268,9,7.78571,14,14,sseo02,140603,0,NA,0,000,29.8971,-87.231,NA,NA,14,7.3125,3.45536,NA,NA,NA
15,0.5625,0.282895,22.25,5.25,47.625,39.4408,47.375,35.8355,8,6.15789,14,19,sseo02,140603,0,NA,0,000,29.7835,-87.5262,NA,NA,16,4.6875,2.69408,NA,NA,NA
16,1.75,0.85,23.5,0.375,49.75,40.2625,49.625,37.175,8,6,14,10,sseo02,140603,0,NA,0,000,29.9264,-88.0415,NA,NA,8,6.875,3.95,NA,NA,NA
17,0.375,0.125,16.875,1.125,47.125,40.1406,45.875,38.8125,8,7.25,14,8,sseo02,140603,0,NA,0,000,26.5376,-88.4132,NA,NA,8,5.6875,2.51562,NA,NA,NA
18,20.75,3.17301,12.625,2.25,47.125,37.7971,44.375,32.9614,7,4.28019,14,207,sseo02,140603,0,NA,0,000,43.4519,-99.6987,NA,NA,161,9.375,3.06914,NA,NA,NA
19,20.4375,7.05625,8.375,5.875,45.75,37.9696,43.375,30.3667,11,6.91905,14,210,sseo02,140603,0,NA,0,000,43.8937,-100.7,NA,NA,137,12.25,4.91577,15.875,154,194.815
20,12.75,4.375,3,0,45,38.2083,40,30.1583,7,6.6,14,15,sseo02,140603,0,NA,0,000,44.1201,-101.511,NA,NA,11,12.5,5.45,15.875,154,194.815
21,8.6875,3.2775,55.625,53,49.75,41.175,48.875,39.31,11,9.52,15,25,sseo02,140603,0,NA,0,000,23.2684,-73.1386,NA,NA,22,10.75,4.09,NA,NA,NA
22,1.8125,0.383523,9.125,6.25,44.875,39.2528,43.75,38.5455,5,3.20455,15,44,sseo02,140603,0,NA,0,000,45.9211,-75.326,NA,NA,44,2.75,1.37642,NA,NA,NA
23,9.125,1.33211,69,40.125,53.875,40.9126,53.75,38.277,14,11.4902,15,153,sseo02,140603,0,NA,0,000,24.6208,-83.259,NA,NA,145,14.5,3.48734,14.5,29,63.8665
24,4,0.700321,45.125,4.625,51.75,41.7724,50.125,39.8141,12,10.6667,15,39,sseo02,140603,0,NA,0,000,24.8342,-84.0115,NA,NA,37,13.4375,3.83013,13.4375,6,17.3311
