DAY1

032100Z - 040000Z
2%
LABEL: 42.61 -102.95
42.94 -103.53 25 WNW  CDR
43.03 -101.16 35 WNW  VTN
42.73  -99.23 35 WNW  ONL
42.33  -97.58 25 NNW  OFK
41.62  -96.12 10 SSE  TQE
40.67  -94.56 35 W    LWD
40.18  -93.93 30 S    LWD
39.30  -94.51 15 NNE  MKC
38.92  -95.83 15 SW   TOP
39.05  -98.19 35 WNW  SLN
38.86 -100.01 35 SSW  HLC
39.02 -100.71 55 WSW  HLC
39.53 -101.25 25 ENE  GLD
40.91 -101.96 30 NNW  IML
41.43 -102.24 45 ENE  SNY
41.92 -102.97 15 SW   AIA
42.24 -103.47 25 NNE  BFF
42.94 -103.53 25 WNW  CDR
42.94 -103.53 25 WNW  CDR
$$
5%
LABEL: 42.12 -100.62
39.28  -96.76 10 NNW  MHK
39.73  -98.06 25 WNW  CNK
40.26 -100.44 10 ENE  MCK
40.79 -100.99 30 SW   LBF
41.72 -101.20 25 SSW  MHN
42.17 -100.68 20 ENE  MHN
42.18  -99.59 35 SE   ANW
41.86  -98.10 35 WSW  OFK
40.55  -95.88 30 WSW  SDA
39.83  -95.16 15 WNW  STJ
39.32  -95.69 15 NNW  TOP
39.28  -96.76 10 NNW  MHK
$$
10%
LABEL: 40.70  -98.51
39.61  -96.73 35 N    MHK
39.75  -97.34 20 NE   CNK
40.47  -99.56 35 WSW  EAR
40.83  -99.88 45 SSW  BBW
41.30 -100.09 25 WSW  BBW
41.72  -99.81 20 NNW  BBW
41.71  -99.19 0  -    BUB
41.44  -98.02 35 W    OLU
40.49  -96.46 20 NE   BIE
40.09  -95.92 15 W    FNB
39.67  -96.14 40 SW   FNB
39.61  -96.73 35 N    MHK
$$
$$
SIGNIFICANT SEVERE
LABEL: -1 -1
40.20  -98.61 30 SSW  HSI
40.47  -99.54 35 WSW  EAR
40.86  -99.92 40 SSW  BBW
41.33 -100.03 20 WSW  BBW
41.72  -99.77 20 NNW  BBW
41.74  -99.15 0  -    BUB
41.47  -98.00 35 W    OLU
40.14  -95.95 20 WNW  FNB
39.68  -96.12 40 SW   FNB
39.61  -96.59 35 N    MHK
39.72  -97.27 25 ENE  CNK
40.20  -98.61 30 SSW  HSI
$$
