/PNum,uh,uha,ppt,ppta,reflc,reflca,ref1km,ref1kma,WMAG,WMAGa,time,area,member,Date,Reports,UHobj,NREPS,MREPS,lat,lon,uhlength,uharea,1kmArea,Updraft,Updrafta,Upobj,Uparea,Uplen
0,0.8125,0.154404,10,5.125,48.125,39.5637,39.0625,33.3952,9,6.01688,14,474,sseo07,140603,0,NA,0,000,48.9177,-74.4724,NA,NA,382,0.875,0.509889,NA,NA,NA
1,0.625,0.164133,8.9375,4.5,44.375,38.5648,38.3125,34.8055,5,4.30631,14,111,sseo07,140603,0,NA,0,000,46.6844,-75.0361,NA,NA,106,0.625,0.431869,NA,NA,NA
2,3.65625,0.803823,18.5625,13.8125,49.4688,39.9351,44.7812,31.2889,7,4.11063,14,922,sseo07,140603,0,NA,0,000,44.1845,-77.2022,NA,NA,612,2.28125,0.887947,NA,NA,NA
3,3.25,0.923231,10.625,2.125,50.5312,42.1104,43.25,33.5289,7,5.53376,14,311,sseo07,140603,0,NA,0,000,41.717,-78.1203,NA,NA,231,2.0625,0.897006,NA,NA,NA
4,3.25,0.940957,16.5938,8.78125,48.4062,39.9911,43.5938,33.3777,9,6.36283,14,678,sseo07,140603,0,NA,0,000,39.503,-79.4867,NA,NA,541,2.15625,0.972944,NA,NA,NA
5,2.03125,0.154789,20.9062,17.0938,51.0938,40.3313,43.9688,32.6794,11,8.60697,14,1005,sseo07,140603,0,NA,0,000,25.86,-83.5239,NA,NA,654,1.71875,0.624347,NA,NA,NA
6,3.5625,0.901718,16.6875,3.03125,48.0312,40.8056,45.4062,34.6884,6,5.02799,14,393,sseo07,140603,0,NA,0,000,37.551,-82.2374,NA,NA,319,3.3125,1.23799,NA,NA,NA
7,1,0.0602814,11.1562,12.2812,46.8438,38.9949,39.2188,31.2809,10,7.56187,14,493,sseo07,140603,0,NA,0,000,28.4209,-85.5594,NA,NA,325,0.625,0.305591,NA,NA,NA
8,2.03125,0.584441,9.625,0.125,44.0625,39.0525,43.0938,36.0638,4,3,14,47,sseo07,140603,0,NA,0,000,49.2435,-83.6851,NA,NA,43,3.09375,1.47939,NA,NA,NA
9,0.53125,0.0223018,12.0312,8.78125,47.1562,39.2986,40.4375,31.932,7,4.63436,14,227,sseo07,140603,0,NA,0,000,27.1663,-85.4857,NA,NA,138,0.84375,0.371834,NA,NA,NA
10,0.0625,-0.0230183,5.6875,4.59375,44.125,38.7768,37.0938,30.3669,7,4.68293,14,205,sseo07,140603,0,NA,0,000,29.7315,-87.446,NA,NA,131,0.6875,0.30747,NA,NA,NA
11,2.3125,0.206972,16.7812,17.4062,45.0312,39.1454,40.4062,33.9296,7,4.49246,14,199,sseo07,140603,0,NA,0,000,26.8283,-87.7127,NA,NA,169,0.84375,0.413317,NA,NA,NA
12,0.1875,-0.0538651,10.0625,7.46875,45.625,38.94,39.1562,34.2479,7,4.89474,14,76,sseo07,140603,0,NA,0,000,25.7227,-89.4359,NA,NA,68,0.6875,0.417763,NA,NA,NA
13,0.3125,0.0257353,6.59375,11.2812,48.0938,41.9095,34.6875,31.2036,9,7.41176,14,68,sseo07,140603,0,NA,0,000,24.3937,-90.8792,NA,NA,48,0.78125,0.451287,NA,NA,NA
14,0.34375,0.0179571,7.96875,8,48.875,41.0928,37.4375,32.9715,9,7.50746,14,134,sseo07,140603,0,NA,0,000,27.9851,-91.9409,NA,NA,113,1.0625,0.661847,NA,NA,NA
15,15.0938,0.933617,12.4062,6.75,50.5,41.0856,45.4688,22.9354,8,5.5534,14,515,sseo07,140603,0,NA,0,000,43.765,-100.623,NA,NA,253,9.40625,1.85813,NA,NA,NA
16,0.6875,0.125749,9.15625,8.09375,47.4688,38.8923,39.5938,31.0691,9,5.55738,15,793,sseo07,140603,0,NA,0,000,48.4201,-74.3846,NA,NA,520,0.75,0.410703,NA,NA,NA
17,3.625,0.696579,16.5,14.3125,50.25,40.3108,44.4688,30.5151,8,4.79695,15,1246,sseo07,140603,0,NA,0,000,43.7273,-76.9845,NA,NA,773,2.0625,0.797201,NA,NA,NA
18,2.21875,0.592335,13.3125,9.9375,47.4688,39.13,42.1875,29.2517,8,5.83268,15,508,sseo07,140603,0,NA,0,000,39.4387,-79.043,NA,NA,239,1.875,0.746986,NA,NA,NA
19,-0.0625,-0.0625,3.75,4.125,46.875,40.0584,32.7812,25.5226,11,9.17816,15,174,sseo07,140603,0,NA,0,000,24.323,-82.3686,NA,NA,24,1.375,0.535381,NA,NA,NA
20,2.1875,0.553622,15.1562,8.65625,49.3438,40.5907,44.2812,31.8523,7,4.91818,15,440,sseo07,140603,0,NA,0,000,37.4505,-81.7824,NA,NA,326,2.28125,1.17131,NA,NA,NA
21,3.65625,0.171914,31.25,20.9062,51.5938,40.5711,46.1875,33.7346,10,7.6759,15,1191,sseo07,140603,0,NA,0,000,26.5519,-84.2531,NA,NA,914,1.78125,0.528915,NA,NA,NA
22,0.875,0.0299881,10.25,11.1562,45.125,38.2735,37.8438,30.2638,10,7.62945,15,421,sseo07,140603,0,NA,0,000,28.4673,-85.738,NA,NA,225,0.625,0.251856,NA,NA,NA
23,0.1875,-0.0152954,7.9375,5.4375,47.1875,39.6597,39.4062,31.8946,7,4.39241,15,237,sseo07,140603,0,NA,0,000,29.701,-87.479,NA,NA,191,0.84375,0.308017,NA,NA,NA
24,0.15625,-0.0401182,12.375,9.03125,45.5,39.6195,40.0625,33.6106,6,4.55405,15,74,sseo07,140603,0,NA,0,000,25.8132,-89.424,NA,NA,57,0.8125,0.442145,NA,NA,NA
25,0.3125,-0.000694444,7.5625,7.96875,47.0938,40.0743,37.6562,31.1917,9,7.62963,15,135,sseo07,140603,0,NA,0,000,27.959,-92.0743,NA,NA,89,1.03125,0.567593,NA,NA,NA
26,10.9062,0.500925,14.9062,10.4688,51.625,42.0956,40.9062,21.091,9,5.62685,15,946,sseo07,140603,0,NA,0,000,43.8482,-100.111,NA,NA,522,5.5625,1.33979,NA,NA,NA
27,0.6875,0.14646,10.1875,7.75,48.6875,39.451,40.2188,31.1322,9,6.12975,16,632,sseo07,140603,0,NA,0,000,49.1594,-73.8639,NA,NA,354,0.78125,0.407437,NA,NA,NA
28,7.90625,0.629488,20.8125,11.375,49.3125,39.4765,47.3125,30.8002,9,5.54472,16,738,sseo07,140603,0,NA,0,000,43.266,-76.6441,NA,NA,419,2.75,0.733105,NA,NA,NA
29,1.5625,0.662899,14.4062,9.59375,47.1562,39.359,42.7812,33.5559,6,3.15426,16,188,sseo07,140603,0,NA,0,000,45.4364,-75.8281,NA,NA,141,1.28125,0.769781,NA,NA,NA
30,-0.0625,-0.0625,1.34375,4.125,46.25,38.832,31.6562,20.7688,6,4.68794,16,141,sseo07,140603,0,NA,0,000,45.9278,-76.5042,NA,NA,7,0.78125,0.562278,NA,NA,NA
31,2.28125,0.700572,9.28125,5.0625,46.0625,38.8623,41.25,30.0864,6,4.83007,16,153,sseo07,140603,0,NA,0,000,38.4048,-79.4101,NA,NA,91,1.625,0.760008,NA,NA,NA
32,1.3125,0.264218,13.0938,12.9062,46.9688,39.5043,42.625,30.5236,7,5.50852,16,411,sseo07,140603,0,NA,0,000,37.3475,-81.2057,NA,NA,285,1.875,1.01756,NA,NA,NA
33,4.625,0.138085,32.375,31.25,50.5312,39.7641,45.4375,32.7178,10,7.96522,16,1495,sseo07,140603,0,NA,0,000,26.396,-84.1861,NA,NA,1060,1.6875,0.472596,NA,NA,NA
34,0.0625,-0.0587729,4.71875,5.84375,48.9062,38.3255,35.5938,28.8286,9,7.46789,16,327,sseo07,140603,0,NA,0,000,24.3262,-84.0966,NA,NA,135,1.40625,0.611716,NA,NA,NA
35,4.125,1.07473,10.3438,0.15625,46.5938,40.3179,46.4062,39.1766,7,5.08696,16,23,sseo07,140603,0,NA,0,000,48.8001,-83.3536,NA,NA,23,3.15625,1.64538,NA,NA,NA
36,0.3125,0.0158528,13.3125,7.25,49.25,40.0159,40.9375,32.0511,7,4.75219,16,343,sseo07,140603,0,NA,0,000,29.6479,-87.5719,NA,NA,229,1.03125,0.357507,NA,NA,NA
37,0.1875,0.00551471,12,11.375,44.6562,38.4223,38.4375,31.5979,6,4.75,16,68,sseo07,140603,0,NA,0,000,25.8829,-89.4962,NA,NA,43,0.71875,0.326746,NA,NA,NA
38,0.3125,0.00332992,6.71875,7.5625,48.3125,39.4016,35.5938,29.7415,9,7.86066,16,122,sseo07,140603,0,NA,0,000,27.9441,-92.2537,NA,NA,64,1.0625,0.557889,NA,NA,NA
39,3.09375,0.0914284,11.4062,14.0938,50.9062,41.4526,40.6875,23.0705,10,5.29883,16,1198,sseo07,140603,0,NA,0,000,43.8718,-99.427,NA,NA,642,2.09375,1.00696,NA,NA,NA
40,0.5625,0.113117,11.875,7.78125,48.5938,39.1076,40.9688,31.1745,9,6.17314,17,618,sseo07,140603,0,NA,0,000,49.6154,-73.3411,NA,NA,362,1.03125,0.465514,NA,NA,NA
41,2.96875,0.254308,14.9375,2.15625,49.4688,39.2364,43.875,29.5352,7,5.77572,17,486,sseo07,140603,0,NA,0,000,43.4518,-75.7354,NA,NA,170,2.09375,0.564815,NA,NA,NA
42,7.5625,0.590315,16.4688,7.90625,49.2812,40.2586,45.5,30.6192,8,5.48582,17,282,sseo07,140603,0,NA,0,000,42.7531,-76.4609,NA,NA,156,2.125,0.572584,NA,NA,NA
43,-0.0625,-0.0625,1.125,1.6875,46.0312,38.477,30.7188,24.0993,6,5.27966,17,118,sseo07,140603,0,NA,0,000,46.4896,-75.9748,NA,NA,3,0.78125,0.568326,NA,NA,NA
44,1,0.139407,8.84375,5.25,47.7188,38.7051,38.6562,30.2638,8,6.6,17,295,sseo07,140603,0,NA,0,000,37.2763,-80.4561,NA,NA,192,1.5,0.560275,NA,NA,NA
45,7.71875,1.69712,6.53125,0,50.8125,41.3882,50.2812,39.8245,9,6.80769,17,26,sseo07,140603,0,NA,0,000,44.9141,-79.3314,NA,NA,26,7.875,3.38341,NA,NA,NA
46,0.1875,-0.0501253,6.75,4.71875,50.875,40.9427,37.0625,27.9724,10,8.11278,17,399,sseo07,140603,0,NA,0,000,24.3334,-83.6758,NA,NA,135,1.40625,0.620066,NA,NA,NA
47,5.78125,1.11919,9.28125,0,48.6875,40.3147,48.5,36.7464,9,8.02326,17,43,sseo07,140603,0,NA,0,000,47.7146,-80.4054,NA,NA,36,4.6875,1.99491,NA,NA,NA
48,3.46875,0.109641,25.5938,32.375,47.6875,38.7815,43.0625,32.1204,10,7.86385,17,1469,sseo07,140603,0,NA,0,000,26.6053,-84.3857,NA,NA,1011,1.5625,0.438968,NA,NA,NA
49,0.65625,0.192845,11.6562,2.8125,45.3438,38.0826,40.4062,32.1608,7,5.14474,17,76,sseo07,140603,0,NA,0,000,36.2259,-82.1693,NA,NA,52,1.40625,0.731086,NA,NA,NA
50,12.25,2.56609,15.5,2.0625,46.7812,41.2756,45.25,36.7495,8,5.83607,17,61,sseo07,140603,0,NA,0,000,49.1189,-83.1044,NA,NA,54,3.5625,1.67674,NA,NA,NA
51,0.4375,0.0410959,15.2188,13.3125,49.375,40.5957,40.0938,32.8996,7,4.70548,17,292,sseo07,140603,0,NA,0,000,29.5722,-87.6927,NA,NA,209,1.03125,0.385809,NA,NA,NA
52,0.1875,-0.052859,4.6875,6.71875,44.8125,38.7284,35.75,28.5701,10,7.79787,17,94,sseo07,140603,0,NA,0,000,27.9076,-92.4287,NA,NA,35,0.875,0.516955,NA,NA,NA
53,3.8125,0.00282694,7.9375,7.21875,50.0938,40.1982,39.5312,22.0794,9,4.47001,17,1017,sseo07,140603,0,NA,0,000,43.8924,-98.6977,NA,NA,338,2.84375,0.871067,NA,NA,NA
54,1.3125,0.218422,16.4688,11.875,49.25,40.8271,41.9688,33.0246,8,5.71429,18,476,sseo07,140603,0,NA,0,000,50.0623,-72.7238,NA,NA,376,1.25,0.574711,NA,NA,NA
55,5.1875,0.183936,13.0625,14.0312,49.8438,39.5555,42.9062,29.3143,8,5.72749,18,833,sseo07,140603,0,NA,0,000,43.5018,-75.4459,NA,NA,339,1.65625,0.525623,NA,NA,NA
56,1.34375,0.352273,10.8125,5.625,44.7812,37.7762,41.7188,35.9834,8,4.63636,18,154,sseo07,140603,0,NA,0,000,46.12,-74.8126,NA,NA,152,1.09375,0.587459,NA,NA,NA
