/PNum,uh,uha,ppt,ppta,reflc,reflca,ref1km,ref1kma,WMAG,WMAGa,time,area,member,Date,Reports,UHobj,NREPS,MREPS,lat,lon,uhlength,uharea,1kmArea,Updraft,Updrafta,Upobj,Uparea,Uplen
0,11.75,1.60793,17.7812,14.4062,48.1875,39.0632,47.4062,38.0317,6,4.0289,14,346,sseo04,140603,0,NA,0,000,47.0517,-75.2158,NA,NA,341,2.6875,1.23167,NA,NA,NA
1,3.75,1.96354,9.6875,0,45.1562,39.6953,44.7188,37.6901,4,3.16667,14,12,sseo04,140603,0,NA,0,000,40.171,-76.5022,NA,NA,12,3.03125,2.16146,NA,NA,NA
2,6.8125,1.85112,16.5625,6.28125,48.2188,38.6732,47.4062,36.9329,12,5.84507,14,284,sseo04,140603,0,NA,0,000,43.9037,-77.0023,NA,NA,268,2.59375,1.26056,NA,NA,NA
3,2.96875,1.2004,24.4688,6.46875,45.0938,38.9107,44.125,36.9129,8,5.98413,14,126,sseo04,140603,0,NA,0,000,40.773,-78.9192,NA,NA,120,3.21875,1.54638,NA,NA,NA
4,4.8125,0.807292,19.5312,0.59375,47.1875,39.776,46.3438,36.4539,6,4.90476,14,42,sseo04,140603,0,NA,0,000,45.7204,-78.6106,NA,NA,36,3.53125,1.18006,NA,NA,NA
5,2,1.26736,12.625,0.25,47,41.3715,45.9688,33.9062,4,4,14,9,sseo04,140603,0,NA,0,000,46.2883,-78.664,NA,NA,6,3.75,2.74306,NA,NA,NA
6,6.09375,2.02993,14.1875,7.96875,46.5,39.3852,45.125,37.1316,6,4.67368,14,95,sseo04,140603,0,NA,0,000,39.3319,-80.1057,NA,NA,87,2.90625,1.43322,NA,NA,NA
7,3.59375,0.947774,14.2188,14.0938,49.5625,39.9854,48.9688,35.6879,8,5.83562,14,73,sseo04,140603,0,NA,0,000,44.7608,-79.403,NA,NA,58,4.90625,1.71318,NA,NA,NA
8,1.4375,0.298363,10,0.28125,46.625,39.0618,45.6875,36.4144,8,6.71429,14,42,sseo04,140603,0,NA,0,000,43.6035,-79.5662,NA,NA,37,2.40625,1.12202,NA,NA,NA
9,2.34375,0.383333,42.9375,2.53125,48.375,42.2833,47.6875,39.9146,10,10,14,15,sseo04,140603,0,NA,0,000,24.031,-81.7398,NA,NA,14,3.75,1.87292,NA,NA,NA
10,2.3125,0.779018,12.3438,14.5938,49.0312,40.875,47.875,33.2746,6,4.14286,14,14,sseo04,140603,0,NA,0,000,45.4597,-79.3097,NA,NA,10,3.59375,1.6808,NA,NA,NA
11,9.21875,1.06198,22.375,9.25,47.875,39.6047,47.0625,37.5219,6,3.96667,14,120,sseo04,140603,0,NA,0,000,38.2905,-81.2092,NA,NA,115,4.625,1.63385,NA,NA,NA
12,74.7812,4.04387,135.844,100.625,56.4688,41.3322,55.8125,39.0877,16,10.5794,14,359,sseo04,140603,0,74.7812,0,000,24.7018,-82.7262,28.7665,12,343,15.5,2.24643,15.5,26,42.3431
13,4.5,0.964286,12.9062,0.1875,47.7188,41.9167,47.0312,39.8452,6,6,14,21,sseo04,140603,0,NA,0,000,46.4463,-80.3042,NA,NA,20,3.84375,1.9747,NA,NA,NA
14,3.5625,1.47243,12.4062,5.96875,47.875,41.3695,46.875,35.9228,6,5.64706,14,17,sseo04,140603,0,NA,0,000,46.7947,-80.5604,NA,NA,13,4.09375,2.06066,NA,NA,NA
