/PNum,uh,uha,ppt,ppta,reflc,reflca,ref1km,ref1kma,WMAG,WMAGa,time,area,member,Date,Reports,UHobj,NREPS,MREPS,lat,lon,uhlength,uharea,1kmArea,Updraft,Updrafta,Upobj,Uparea,Uplen
0,10.4375,3.24167,28.5312,1.09375,52.6562,42.9729,50.0625,38.5792,12,11.2,14,15,sseo01,140603,0,NA,0,000,24.0417,-81.6044,NA,NA,13,10.4688,5.15833,NA,NA,NA
1,7.125,2.02574,26.5938,0.875,51,42.4835,49.2812,38.0129,11,9.23529,14,17,sseo01,140603,0,NA,0,000,24.2031,-82.1997,NA,NA,14,8.46875,4.38235,NA,NA,NA
2,2.03125,0.802083,14.8125,4.78125,46.6562,38.7956,44.75,36.6406,6,4.125,14,24,sseo01,140603,0,NA,0,000,37.55,-81.7864,NA,NA,22,4.5625,2.38802,NA,NA,NA
3,4.75,0.747876,26.0938,10.5312,47.4688,39.0133,46.9062,37.8116,7,5.1165,14,103,sseo01,140603,0,NA,0,000,37.2069,-82.1338,NA,NA,102,6.09375,2.45995,NA,NA,NA
4,12.3438,3.58482,31.9688,1.90625,52.0312,42.4732,51.5938,37.6496,13,11.5,14,14,sseo01,140603,0,NA,0,000,24.131,-83.212,NA,NA,11,10.6562,5.20759,NA,NA,NA
5,0.90625,0.352083,14,1.3125,48.4688,40.0667,48.0938,38.2104,8,5.46667,14,15,sseo01,140603,0,NA,0,000,36.8787,-82.5306,NA,NA,14,5.34375,2.41042,NA,NA,NA
6,3.28125,0.597775,20,8.6875,46.7188,39.2076,46.5938,38.1705,5,3.35606,14,132,sseo01,140603,0,NA,0,000,36.3461,-83.3288,NA,NA,131,6.40625,2.73272,NA,NA,NA
7,3.3125,1.79514,7.96875,0.15625,49.1562,40.2465,47.8438,30,12,11.4444,14,9,sseo01,140603,0,NA,0,000,24.514,-83.8454,NA,NA,5,9,4.79167,NA,NA,NA
8,25.0938,4.8149,61.125,6.6875,51.2188,41.4519,50.3438,37.1875,12,10.9231,14,26,sseo01,140603,0,NA,0,000,24.5782,-84.0922,NA,NA,20,13.875,5.18269,13.875,13,24.1075
9,19.5312,2.73823,53.4062,64.4688,51.1875,40.6493,50.3125,37.3295,17,12.0779,14,77,sseo01,140603,0,NA,0,000,25.0846,-84.5868,NA,NA,69,11.8125,3.88555,11.8125,11,25.6398
10,3.5,1.03835,12.375,2.1875,53.5938,40.8168,52.8125,32.9716,13,10.1818,14,22,sseo01,140603,0,NA,0,000,24.7832,-84.4587,NA,NA,15,9.53125,3.94176,NA,NA,NA
11,3.75,0.762228,12.875,0.84375,46.9375,38.6624,46.4062,36.9885,5,2.43478,14,46,sseo01,140603,0,NA,0,000,36.0195,-84.4628,NA,NA,44,5.21875,2.6644,NA,NA,NA
12,15.0312,2.52405,89.9688,100.312,55.25,42.2008,55.2188,40.6406,13,10.4219,14,256,sseo01,140603,0,NA,0,000,26.2384,-85.6632,NA,NA,245,9.71875,3.46606,NA,NA,NA
13,3.09375,1,30.4688,58.3438,50.4375,40.6392,49.5938,34.4901,13,11.8182,14,22,sseo01,140603,0,NA,0,000,25.498,-85.2442,NA,NA,16,7.1875,3.11932,NA,NA,NA
14,5.375,1.41335,23.4688,0.21875,51.1562,42.1449,50.9062,40.9943,5,4,14,22,sseo01,140603,0,NA,0,000,35.8708,-85.3031,NA,NA,22,6.71875,3.8892,NA,NA,NA
15,4.5625,0.991071,24.7188,2.28125,47.125,40.5625,45.5625,38.6585,13,11.2857,14,14,sseo01,140603,0,NA,0,000,26.8937,-85.798,NA,NA,14,8.15625,3.18527,NA,NA,NA
16,8.125,2.75208,64.3438,48.3438,50.9375,41.4625,48.0938,37.4917,10,8.33333,14,15,sseo01,140603,0,NA,0,000,25.4928,-85.8464,NA,NA,13,9.71875,3.3125,NA,NA,NA
17,0.78125,0.528125,14.5625,8.875,49,41.975,48.75,41.5938,11,9.8,14,10,sseo01,140603,0,NA,0,000,28.5122,-85.9215,NA,NA,10,3.8125,1.90937,NA,NA,NA
18,2.625,0.901042,12.5312,15.0625,46.3125,39.8479,45.4375,38.574,7,4.4,14,30,sseo01,140603,0,NA,0,000,35.8895,-85.7203,NA,NA,29,5.40625,2.57083,NA,NA,NA
19,3.59375,0.809028,26.9062,3.53125,52.5938,40.3333,52.375,38.1146,14,11.1667,14,18,sseo01,140603,0,NA,0,000,27.2577,-86.2069,NA,NA,17,6.9375,3.25347,NA,NA,NA
20,3.1875,0.649219,35.375,25.4688,52.5938,41.1797,52.0625,39.2219,11,8.65,14,40,sseo01,140603,0,NA,0,000,27.1469,-86.7273,NA,NA,37,7.53125,3.37109,NA,NA,NA
21,1.875,0.795455,17.8438,0,48.3125,41.7472,48.1562,40.3267,9,7.90909,14,11,sseo01,140603,0,NA,0,000,29.5669,-86.6434,NA,NA,11,6,3.44034,NA,NA,NA
22,4.84375,2.49609,22.5312,0,53.1875,40.793,52.4688,34.1914,7,6.5,14,8,sseo01,140603,0,NA,0,000,30.2483,-87.1089,NA,NA,5,7.4375,4.03906,NA,NA,NA
