KABR,-98.4131,45.4558
KABX,-106.8239,35.1497
KAKQ,-77.0075,36.9839
KAMA,-101.7093,35.2333
KAMX,-80.4131,25.6106
KAPX,-84.7195,44.9064
KARX,-91.1911,43.8228
KATX,-122.4957,48.1946
KBBX,-121.6317,39.4961
KBGM,-75.9847,42.1997
KBHX,-124.2922,40.4983
KBIS,-100.7603,46.7708
KBIX,-88.985,30.524
KBLX,-108.6068,45.8538
KBMX,-86.7697,33.1719
KBOX,-71.1369,41.9558
KBRO,-97.4186,25.9156
KBUF,-78.7369,42.9486
KBYX,-81.7033,24.5969
KCAE,-81.1186,33.9486
KCBW,-67.8064,46.0392
KCBX,-116.236,43.4902
KCCX,-78.0039,40.9231
KCLE,-81.86,41.4131
KCLX,-81.0422,32.6556
KCRI,-97.46,35.238
NOP3,-97.46,35.238
KOU3,-97.46,35.238
KCRP,-97.5108,27.7839
KCXX,-73.1664,44.5111
KCYS,-104.8061,41.1519
KDAX,-121.6778,38.5011
KDDC,-99.9689,37.7608
KDFX,-100.2803,29.2726
KDGX,-89.9844,32.28
KDIX,-74.4107,39.9469
KDLH,-92.2097,46.8369
KDMX,-93.7229,41.7311
KDOX,-75.44,38.8256
KDTX,-83.4717,42.7
KDVN,-90.5808,41.6117
KDYX,-99.2542,32.5383
KEAX,-94.2644,38.8103
KEMX,-110.6303,31.8936
KENX,-74.0641,42.5866
KEOX,-85.4594,31.4606
KEPZ,-106.698,31.8731
KESX,-114.8914,35.7011
KEVX,-85.9217,30.565
KEWX,-98.0286,29.7041
KEYX,-117.5608,35.0978
KFCX,-80.2742,37.0242
KFDR,-98.9767,34.3622
KFDX,-103.6189,34.6342
KFFC,-84.5658,33.3633
KFSD,-96.7289,43.5878
KFSX,-111.1984,34.5743
KFTG,-104.5458,39.7866
KFWS,-97.3031,32.5728
KGGW,-106.6247,48.2064
KGJX,-108.2138,39.0622
KGLD,-101.7003,39.3669
KGRB,-88.1111,44.4986
KGRK,-97.3828,30.7217
KGRR,-85.5449,42.8939
KGSP,-82.2198,34.8833
KGWX,-88.3292,33.8969
KGYX,-70.2564,43.8913
KHDX,-106.12,33.077
KHGX,-95.0789,29.4719
KHNX,-119.6321,36.3142
KHPX,-87.285,36.7367
KHTX,-86.0836,34.9306
KICT,-97.4431,37.6544
KICX,-112.8622,37.5911
KILN,-83.8217,39.4203
KILX,-89.3368,40.1505
KIND,-86.2803,39.7075
KINX,-95.5641,36.175
KIWA,-111.67,33.2892
KIWX,-85.7,41.3586
KJAN,-90.08,32.318
KJAX,-81.7019,30.4846
KJGX,-83.3511,32.675
KJKL,-83.3131,37.5908
KLBB,-101.8142,33.6541
KLCH,-93.2159,30.1253
KLGX,-124.1066,47.1169
KLIX,-89.8254,30.3367
KLNX,-100.5762,41.9579
KLOT,-88.0844,41.6044
KLRX,-116.8028,40.7397
KLSX,-90.6828,38.6989
KLTX,-78.4292,33.9892
KLVX,-85.9439,37.9753
KLWX_old,-77.4781,38.9753
KLWX,-77.4874,38.9761
KLZK,-92.2619,34.8364
KMAF,-102.1893,31.9435
KMAX,-122.7174,42.0811
KMBX,-100.8644,48.3924
KMHX,-76.8764,34.7758
KMKX,-88.5506,42.9678
KMLB,-80.6544,28.1131
KMOB,-88.2397,30.6794
KMPX,-93.5656,44.8489
KMQT,-87.5483,46.5311
KMRX,-83.4019,36.1683
KMSX,-113.9861,47.0411
KMTX,-112.4478,41.2628
KMUX,-121.8984,37.1552
KMVX,-97.325,47.5281
KMXX,-85.7898,32.5367
KNKX,-117.0419,32.9189
KNQA,-89.8733,35.3447
KOAX,-96.3668,41.3203
KOHX,-86.5625,36.2472
KOKX,-72.8639,40.8654
KOTX,-117.6258,47.6806
KOUN,-97.463,35.236
KPAH,-88.7719,37.0683
KPBZ,-80.2179,40.5317
KPDT,-118.8529,45.6906
KPOE,-92.9758,31.1553
KPUX,-104.1814,38.4594
KRAX,-78.49,35.6653
KRGX,-119.462,39.7541
KRIW,-108.4773,43.0661
KRIX,-117.12,33.598
KRLX,-81.7228,38.3111
KRMX,-75.458,43.468
KRTX,-122.965,45.715
KSFX,-112.6861,43.1056
KSGF,-93.4003,37.2353
KSHV,-93.8413,32.4508
KSJT,-100.4922,31.3711
KSOX,-117.636,33.8177
KSRX,-94.3619,35.2904
KTBW,-82.4019,27.7053
KTFX,-111.3853,47.4597
KTLH,-84.3289,30.3976
KTLX,-97.2778,35.3331
KTWX,-96.2326,38.9969
KTYX,-75.68,43.7558
KUDX,-102.83,44.1247
KUEX,-98.4419,40.3208
KVAX,-83.0018,30.8903
KVBX,-120.3979,34.8386
KVNX,-98.1274,36.7408
KVTX,-119.1786,34.4117
KVWX,-87.7245,38.2603
KYUX,-114.6567,32.4953
MGDT,-71.131,21.461
PABC,-161.876,60.792
PGGR,-161.876,60.792
PACG,-135.529,56.853
PWRC,-135.529,56.853
PAEC,-165.295,64.511
PJMG,-165.295,64.511
PAHG,-151.351,60.726
PBCS,-151.351,60.726
KBCS,-151.351,60.726
PAIH,-146.303,59.461
PRCW,-146.303,59.461
PAKC,-156.629,58.679
PDVS,-156.629,58.679
PAPD,-147.502,65.035
PSGL,-147.502,65.035
PHKI,-159.552,21.894
PHWA,-155.569,19.095
PHKM,-155.778,20.126
PHMO,-157.18,21.133
PUGA,-144.808,13.454
TJUA,-66.078,18.116
ADW,-76.8449,38.6953
BWI,-76.6295,39.0899
DAL,-96.9683,32.9258
DCA,-76.9616,38.759
DFW,-96.918,33.0648
