/PNum,uh,uha,ppt,ppta,reflc,reflca,ref1km,ref1kma,WMAG,WMAGa,time,area,member,Date,Reports,UHobj,NREPS,MREPS,lat,lon,uhlength,uharea,1kmArea,Updraft,Updrafta,Upobj,Uparea,Uplen
0,6.40625,1.60337,33.25,15.375,49.375,39.9808,49.125,35.3109,9,6.12821,14,39,sseo06,140603,0,NA,0,000,23.2924,-73.4427,NA,NA,33,4.78125,1.83574,NA,NA,NA
1,1.71875,0.201206,9.5,0.25,44.875,38.432,44.5,36.2434,8,6.91228,14,57,sseo06,140603,0,NA,0,000,48.6696,-71.4644,NA,NA,55,2.03125,0.966557,NA,NA,NA
2,1.15625,0.346799,10.625,0,44.375,39.3963,44.125,37.8232,7,6.5122,14,41,sseo06,140603,0,NA,0,000,44.4226,-74.8083,NA,NA,39,1.53125,1.06326,NA,NA,NA
3,2.65625,0.465372,19.125,10.375,46.125,38.7821,45,35.6909,7,5.75676,14,74,sseo06,140603,0,NA,0,000,43.9095,-75.1096,NA,NA,64,2.71875,1.25845,NA,NA,NA
4,8.28125,1.81985,27.625,14.5,48.75,40.2941,48.5,36.9485,10,7.94118,14,34,sseo06,140603,0,NA,0,000,23.8955,-78.9037,NA,NA,30,4.53125,2.01287,NA,NA,NA
5,4.78125,1.43223,19.125,2,47,40.5084,46.5,39.2528,7,5.8764,14,89,sseo06,140603,0,NA,0,000,49.3791,-74.8774,NA,NA,86,2.40625,1.2342,NA,NA,NA
6,9.09375,0.630787,56,69.375,50.5,40.1481,49.875,35.9051,5,3.11111,14,54,sseo06,140603,0,NA,0,000,26.3458,-80.401,NA,NA,42,5.65625,1.52894,NA,NA,NA
7,1.90625,0.414583,16.625,0.125,49.125,39.9083,48,36.7958,6,4.76667,14,30,sseo06,140603,0,NA,0,000,36.7028,-83.3306,NA,NA,26,2.96875,1.83958,NA,NA,NA
8,8.65625,1.32086,56.125,52.25,51.375,41.3944,51.25,39.382,9,4.69014,14,71,sseo06,140603,0,NA,0,000,30.0284,-84.5065,NA,NA,68,6.09375,1.98107,NA,NA,NA
9,6.21875,0.61875,44.75,33.25,47.75,40.5528,47.125,38.8583,2,1.37778,14,45,sseo06,140603,0,NA,0,000,33.6602,-84.8843,NA,NA,43,3.03125,1.53681,NA,NA,NA
10,1.84375,0.21875,50.75,22.875,48.25,40.7863,47.625,39.2379,5,3.83871,14,31,sseo06,140603,0,NA,0,000,30.4703,-85.0525,NA,NA,29,3.84375,2.00907,NA,NA,NA
11,20.8438,2.84375,50.5,62.625,50.375,40.4222,50,36.0613,13,8.33962,14,53,sseo06,140603,0,NA,0,000,24.9645,-85.7025,NA,NA,47,4.90625,1.56073,NA,NA,NA
12,7.78125,1.8376,56.625,12.875,50.625,42.3279,50.125,40.1066,6,4.47541,14,61,sseo06,140603,0,NA,0,000,30.1775,-85.6942,NA,NA,57,5.40625,2.31199,NA,NA,NA
13,84.9688,2.01062,80.875,72.25,52.125,42.0008,51.625,37.476,23,12.1224,14,621,sseo06,140603,0,84.9688,0,000,26.4098,-92.0266,26.5748,11,534,11.9062,2.30047,11.9062,23,55.19
14,10.0312,1.86549,6.125,0.125,48,39.7935,47.125,37.8967,15,11.913,14,23,sseo06,140603,0,NA,0,000,26.3514,-93.0384,NA,NA,22,5.15625,2.36277,NA,NA,NA
15,2.78125,0.703125,9.375,1.375,44.625,39.875,42.5,34.4375,7,6.625,14,8,sseo06,140603,0,NA,0,000,24.6754,-95.2784,NA,NA,6,5.15625,3.03906,NA,NA,NA
16,10.1562,0.615091,5.5,0,45.5,39.9543,43.625,21.7012,7,5.60976,14,41,sseo06,140603,0,NA,0,000,39.9892,-99.9717,NA,NA,18,6.78125,1.36357,NA,NA,NA
17,5.21875,0.294643,17,2.125,48.5,39.6996,48.25,25.6365,8,6.31122,14,196,sseo06,140603,0,NA,0,000,43.8058,-100.899,NA,NA,109,10.0938,2.24107,12.5312,33,86.0695
