/PNum,uh,uha,ppt,ppta,reflc,reflca,ref1km,ref1kma,WMAG,WMAGa,time,area,member,Date,Reports,UHobj,NREPS,MREPS,lat,lon,uhlength,uharea,1kmArea,Updraft,Updrafta,Upobj,Uparea,Uplen
0,1,0.314375,14.25,0.875,50.25,39.2788,46.125,38.025,7,5.25,14,100,sseo03,140603,0,NA,0,000,45.768,-75.1155,NA,NA,100,4.5,1.6125,NA,NA,NA
1,0.25,0.107843,8.75,0.25,46.125,39.4485,46,38.0956,6,5.23529,14,51,sseo03,140603,0,NA,0,000,45.074,-75.4501,NA,NA,50,3,1.47672,NA,NA,NA
2,1.5625,0.804924,8.75,4.625,46.125,39.6705,45.25,38.0682,8,6.24242,14,33,sseo03,140603,0,NA,0,000,44.4035,-75.9983,NA,NA,32,3.4375,1.93371,NA,NA,NA
3,2.5,0.613636,11.375,0.125,46.875,40.2235,46.375,37.4583,7,6.0303,14,33,sseo03,140603,0,NA,0,000,48.1772,-75.9312,NA,NA,31,3.4375,1.47348,NA,NA,NA
4,0.3125,0.145833,7.5,1,45.375,40.3417,44.75,39.7583,8,7.53333,14,15,sseo03,140603,0,NA,0,000,50.6613,-75.7434,NA,NA,15,2.5,1.525,NA,NA,NA
5,2.75,0.610119,21.125,20.5,50.5,41.4048,50,38.3869,5,4,14,21,sseo03,140603,0,NA,0,000,25.2415,-80.9051,NA,NA,18,7.875,3.21131,NA,NA,NA
6,11.8125,1.69684,58.625,50.625,50.25,41.5876,50.125,37.0747,15,11.4368,14,87,sseo03,140603,0,NA,0,000,24.9241,-81.3357,NA,NA,71,9.875,3.12284,NA,NA,NA
7,0.25,0.0277778,12.75,0,48,39.7083,46,36.7222,12,11.3333,14,9,sseo03,140603,0,NA,0,000,24.899,-81.8136,NA,NA,9,5.9375,2.76389,NA,NA,NA
8,3.25,0.928879,35,18.625,52,41.5819,51.375,38.0517,12,10.8276,14,29,sseo03,140603,0,NA,0,000,25.6341,-83.1577,NA,NA,27,8.625,3.79957,NA,NA,NA
9,10.0625,1.16484,50.75,54,53.25,40.3969,52.875,37.4961,12,7.95625,14,160,sseo03,140603,0,NA,0,000,24.4781,-83.9661,NA,NA,147,12,3.47773,12,34,81.6861
10,1.625,0.483796,24.625,1.625,46,40.1111,45.5,37.3287,14,11.7407,14,27,sseo03,140603,0,NA,0,000,25.5287,-83.7017,NA,NA,23,8,3.65046,NA,NA,NA
11,1.75,0.490385,20,0.25,49.875,42.5962,49.75,38.7019,10,8.53846,14,13,sseo03,140603,0,NA,0,000,25.8888,-83.985,NA,NA,13,8,4.75,NA,NA,NA
12,4.5625,0.710938,31.625,25.625,49.25,40.3984,49,36.6693,10,8.45833,14,48,sseo03,140603,0,NA,0,000,26.4165,-84.1419,NA,NA,43,8.6875,3.48568,NA,NA,NA
13,3.75,1.65625,32.75,16.875,53.5,41.6484,53.25,39.4453,10,7.125,14,16,sseo03,140603,0,NA,0,000,24.9691,-84.3695,NA,NA,15,10.4375,4.40625,NA,NA,NA
14,0.375,0.0625,9.25,0.25,46.625,40.0871,45,37.4394,4,3.72727,14,33,sseo03,140603,0,NA,0,000,36.5527,-83.7745,NA,NA,30,3.875,1.75758,NA,NA,NA
15,2.9375,0.8325,40.625,32.375,47.75,39.0025,47.375,37.25,14,10.2,14,50,sseo03,140603,0,NA,0,000,26.7952,-84.5852,NA,NA,49,7.3125,2.7925,NA,NA,NA
16,3.625,1.46875,27.75,0.25,50.125,42.0625,49.625,33.9922,8,6.3125,14,16,sseo03,140603,0,NA,0,000,25.7016,-84.7199,NA,NA,11,9.5625,4.80078,NA,NA,NA
17,5.1875,1.34318,48,41.5,51.5,42.3136,50.75,39.3273,9,6.47273,14,55,sseo03,140603,0,NA,0,000,25.3194,-84.9626,NA,NA,50,12.9375,4.15455,12.9375,14,34.1439
18,2.125,0.678879,27.5,4.5,52,41.1983,51.5,38.9871,12,9.7931,14,29,sseo03,140603,0,NA,0,000,26.5807,-84.9938,NA,NA,27,9,3.29957,NA,NA,NA
19,0.3125,0.131944,17.625,32.5,45.125,38.8194,45,37.3333,6,4.55556,14,9,sseo03,140603,0,NA,0,000,26.011,-84.8648,NA,NA,8,4.8125,2.65278,NA,NA,NA
20,1.5625,0.692308,23.375,3,47,38.9135,46.25,37.4712,11,9.38461,14,13,sseo03,140603,0,NA,0,000,27.4845,-85.1436,NA,NA,13,5.8125,2.68269,NA,NA,NA
21,0.625,0.207031,26.25,11,46.25,39.375,45.875,37.6953,9,7.4375,14,16,sseo03,140603,0,NA,0,000,27.9695,-86.0071,NA,NA,16,6.625,3.25781,NA,NA,NA
22,2.0625,0.733553,22.125,33.625,47.375,40.2829,45.125,35.9671,10,7.57895,14,19,sseo03,140603,0,NA,0,000,29.5446,-86.3217,NA,NA,18,9.3125,3.79605,NA,NA,NA
23,2.375,0.8125,43,31.125,51.125,40.7446,50.75,37.4402,11,7.91304,14,23,sseo03,140603,0,NA,0,000,29.5084,-86.8027,NA,NA,20,9.375,3.26359,NA,NA,NA
24,1.3125,0.493304,20.5,8,46.375,39.2946,46,36.808,11,8.28571,14,28,sseo03,140603,0,NA,0,000,30.312,-87.0244,NA,NA,26,7.125,2.69866,NA,NA,NA
25,1.8125,0.537138,26.375,19.375,49.5,40.9112,49.25,38.5054,4,2.73913,14,69,sseo03,140603,0,NA,0,000,35.0383,-87.9496,NA,NA,64,5.8125,2.76993,NA,NA,NA
26,3.1875,0.892361,25.5,42,48.75,38.316,48.5,36.0712,11,8.66667,14,72,sseo03,140603,0,NA,0,000,26.098,-91.7723,NA,NA,68,9.5625,3.23003,NA,NA,NA
27,1.125,0.24628,13.375,12,45.375,38.5268,41.875,35.7411,16,14.1548,14,84,sseo03,140603,0,NA,0,000,24.2951,-92.9138,NA,NA,79,2.75,1.46875,NA,NA,NA
28,2.6875,1.03333,30.5,5,47.875,40.2625,47.125,37.0333,13,11.1667,14,30,sseo03,140603,0,NA,0,000,25.826,-93.0335,NA,NA,27,10.625,4.075,10.625,12,25.7738
29,1.75,0.490385,10.5,0.875,47.625,39.3317,45,38.0673,12,11.4231,14,26,sseo03,140603,0,NA,0,000,26.8057,-93.3317,NA,NA,25,7.5,2.60096,NA,NA,NA
30,6.1875,1.67647,21.25,0.125,50.875,40.7647,50.125,35.2279,13,11.5882,14,34,sseo03,140603,0,NA,0,000,26.6043,-93.7592,NA,NA,27,10.75,3.01103,NA,NA,NA
31,4.25,1.39583,20.125,8.125,48.125,39.5172,47.5,36.6618,15,11.8824,14,51,sseo03,140603,0,NA,0,000,26.4069,-94.4947,NA,NA,48,15.5625,4.72549,15.5625,11,38.9488
32,1.75,0.70777,13.875,3.75,51.875,41.7736,50.875,38.6351,12,7.89189,14,37,sseo03,140603,0,NA,0,000,26.0134,-94.4037,NA,NA,33,7.875,3.43581,NA,NA,NA
33,1.25,0.7625,15.5,0.25,48.625,41.2375,47.625,38.075,9,8.4,14,10,sseo03,140603,0,NA,0,000,27.1612,-94.6192,NA,NA,8,6.875,3.90625,NA,NA,NA
34,1,0.424342,11,0.25,44.75,38.5789,43.375,36.3421,10,9.36842,14,19,sseo03,140603,0,NA,0,000,26.7429,-94.9172,NA,NA,18,3.8125,2.08553,NA,NA,NA
35,12.375,2.28957,8,0.125,44.75,37.8804,43.125,30.2482,10,5.64748,14,139,sseo03,140603,0,NA,0,000,42.5475,-99.2299,NA,NA,82,10,3.65063,13.5625,66,128.215
36,5.25,1.95139,0.25,0.125,48.75,39.3333,37,11.0139,8,7.22222,14,9,sseo03,140603,0,NA,0,000,42.8673,-100.347,NA,NA,2,16.4375,9.45139,18.75,15,36.1605
37,2.4375,0.586207,16.875,0,48.75,39.9353,47.5,38.0345,6,4.34483,15,29,sseo03,140603,0,NA,0,000,46.4562,-73.1912,NA,NA,28,4.8125,1.77586,NA,NA,NA
38,1.5625,0.633152,13,0.5,46.75,38.6223,46.5,37.6984,6,5.15217,15,46,sseo03,140603,0,NA,0,000,48.1019,-73.8228,NA,NA,46,2.6875,1.12636,NA,NA,NA
39,0.8125,0.228365,10.5,1.25,48.375,39.6058,46.125,38.1635,6,5,15,26,sseo03,140603,0,NA,0,000,45.9486,-74.5194,NA,NA,26,3.8125,1.86058,NA,NA,NA
40,0.8125,0.339399,18.625,4.375,45.25,38.9778,45,37.9098,6,5.53165,15,79,sseo03,140603,0,NA,0,000,46.5039,-74.6413,NA,NA,79,4,1.73418,NA,NA,NA
41,2.5625,0.526367,16.75,1,49.75,41.0996,49.5,38.9355,6,5.1875,15,64,sseo03,140603,0,NA,0,000,45.4101,-74.9571,NA,NA,61,5.8125,2.26172,NA,NA,NA
42,1.875,0.9375,8.375,8.75,48.375,40.4926,48.25,39.3162,6,5.70588,15,34,sseo03,140603,0,NA,0,000,44.7421,-75.4777,NA,NA,34,4.4375,2.15441,NA,NA,NA
43,1.5625,0.375,11.125,0,49.5,39.8009,47.25,38.3843,6,5.40741,15,54,sseo03,140603,0,NA,0,000,44.1072,-75.6333,NA,NA,53,3.625,1.45486,NA,NA,NA
44,2.4375,0.988636,12.75,0,46.25,40.2841,46,37.8807,7,6.36364,15,22,sseo03,140603,0,NA,0,000,48.5315,-75.6168,NA,NA,22,3,1.52557,NA,NA,NA
45,2.875,1.09211,9.5,3.125,48.375,40.9868,47.875,39.1382,6,6,15,19,sseo03,140603,0,NA,0,000,47.4766,-77.259,NA,NA,19,5.0625,2.39145,NA,NA,NA
46,0.1875,0.0972222,6.75,0,47.75,41.3889,47.5,40.0972,6,5.33333,15,9,sseo03,140603,0,NA,0,000,48.2001,-77.1496,NA,NA,9,4.625,2.5,NA,NA,NA
47,0.625,0.23125,9.125,1,46.5,38.9875,45.875,34.425,11,9.9,15,10,sseo03,140603,0,NA,0,000,25.0699,-80.6678,NA,NA,6,6.125,3.1625,NA,NA,NA
48,6.9375,1.23065,34.75,26.375,49.375,40.6518,48.875,37.7887,12,7.07143,15,42,sseo03,140603,0,NA,0,000,25.1829,-81.1229,NA,NA,39,10,3.07887,NA,NA,NA
49,2.6875,0.362664,42.25,58.5,47.5,39.7237,47.25,37.7484,15,11.3553,15,76,sseo03,140603,0,NA,0,000,24.8467,-81.4241,NA,NA,72,9.5,2.62829,NA,NA,NA
50,0.5625,0.19375,21.5,0,50.125,41.4375,50,39.45,9,8.3,15,10,sseo03,140603,0,NA,0,000,24.6695,-81.9556,NA,NA,9,10,3.88125,NA,NA,NA
51,6.0625,1.7625,33.375,16.375,51.375,40.715,51,37.075,14,12.44,15,25,sseo03,140603,0,NA,0,000,25.5571,-83.3638,NA,NA,22,8.625,3.7475,NA,NA,NA
52,6.0625,1.24784,22.75,50.75,48.375,38.6121,47.875,37.0603,11,7.93103,15,29,sseo03,140603,0,NA,0,000,24.3587,-83.5574,NA,NA,28,6.5625,2.58621,NA,NA,NA
53,0.25,0.115385,9,0,47.125,39.6154,44,37.1827,5,4,15,13,sseo03,140603,0,NA,0,000,36.9125,-82.6285,NA,NA,12,2.5625,1.50481,NA,NA,NA
